,Gene Ontology,Metadata,Sex,Cell Type,Time Point,Tissue,deg_method,Term,-log10.p-value
48,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,microtubule nucleation by interphase microtubule organizing center,4.28196652164057
49,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,gamma-secretase complex,4.28196652164057
50,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,regulation of mitotic cell cycle phase transition,4.27583301795647
51,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,cilium assembly,4.21239449989713
52,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,protein targeting to peroxisome,4.07824804623808
53,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,integral component of endoplasmic reticulum membrane,4.02120209327276
54,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,perinuclear region of cytoplasm,3.98642693308651
55,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,"DNA-templated transcription, termination",3.93171320879503
56,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,ATPase binding,3.82639943272936
57,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,intraciliary transport,3.80828650557067
58,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,regulation of cholesterol biosynthetic process,3.71236884176518
59,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,lysosomal transport,3.60061038643101
60,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,phosphoprotein phosphatase activity,3.36717870839607
61,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,basal RNA polymerase II transcription machinery binding,3.16937045309982
62,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,regulation of adherens junction organization,3.1630597603197
63,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,membrane protein ectodomain proteolysis,3.1630597603197
64,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,Golgi-associated vesicle,3.11955074624232
65,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,regulation of establishment of planar polarity,3.0185394105284
66,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,amyloid precursor protein catabolic process,2.99170490763618
67,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,protein dephosphorylation,2.98795192202045
68,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,long-chain fatty-acyl-CoA metabolic process,2.94853768260602
69,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,positive regulation of axon extension,2.92093629313437
70,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,gamma-tubulin binding,2.92093629313437
71,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,interleukin-1-mediated signaling pathway,2.83763219146705
72,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,steroid hormone receptor binding,2.79739328787637
73,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,prenyltransferase activity,2.79733255067942
74,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,peptide alpha-N-acetyltransferase activity,2.79733255067942
75,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,negative chemotaxis,2.76308575088397
76,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,histone H3 acetylation,2.76097460085975
77,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,polyubiquitin modification-dependent protein binding,2.76097460085975
78,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,phosphatidylinositol binding,2.75362284299502
79,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,negative regulation of intrinsic apoptotic signaling pathway,2.67930770877957
80,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,2.59249307997688
81,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,magnesium ion binding,2.56453072936013
82,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,negative regulation of canonical Wnt signaling pathway,2.55440515004317
83,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,cellular response to oxidative stress,2.54118460508118
84,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,ribosome binding,2.48969073423253
85,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,production of miRNAs involved in gene silencing by miRNA,2.43105812788574
86,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,protein maturation by iron-sulfur cluster transfer,2.39791411988893
87,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,protein glycosylation,2.373260040622
88,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,focal adhesion,2.31522223243069
89,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,peroxisomal membrane,2.24300879696598
90,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,smooth endoplasmic reticulum,2.23945990356027
91,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,protein heterodimerization activity,2.16854020059958
92,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,pyrimidine nucleotide-sugar transmembrane transporter activity,2.04727946741253
93,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,neurotrophin TRK receptor binding,2.04727946741253
94,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,enoyl-CoA hydratase activity,2.04727946741253
95,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,chromatin,2.02261872371543
96,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,purine-containing compound salvage,2.0170038022589
97,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,endoplasmic reticulum-Golgi intermediate compartment,1.94396320290431
98,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,stimulatory C-type lectin receptor signaling pathway,1.90755988065563
99,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,ubiquinone binding,1.82348697013303
100,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,nucleic acid phosphodiester bond hydrolysis,1.74842491777141
101,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,R-SMAD binding,1.71742830499992
102,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,"regulation of gene expression, epigenetic",1.68029053926499
103,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,phagophore assembly site,1.65286144788608
104,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,Notch receptor processing,1.65023493903396
105,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",1.61449079401649
106,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,mRNA polyadenylation,1.61166794067756
107,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,chaperonin-containing T-complex,1.58999045171923
108,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,signal sequence binding,1.55983680635664
109,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,regulation of amyloid-beta clearance,1.54326079750161
110,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,regulation of mammary gland epithelial cell proliferation,1.54326079750161
111,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,mannosyl-oligosaccharide mannosidase activity,1.54326079750161
112,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,"phosphotransferase activity, for other substituted phosphate groups",1.54326079750161
113,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,NEDD8-specific protease activity,1.52723785609327
114,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,aggresome,1.38729680992848
115,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P30,WB,DEsingle,myelination,1.38545628507001
0,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,RNA binding,22.7296472696327
1,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,mitochondrial inner membrane,20.4240033636309
2,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,translation,17.6869900846669
3,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,rRNA processing,16.1998968732777
4,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,ribosome biogenesis,15.5092475986492
5,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,mitochondrial respiratory chain complex assembly,13.9800069077222
6,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,NADH dehydrogenase complex assembly,13.3663430939797
7,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,mitochondrial translational elongation,12.2335448778987
8,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,respiratory electron transport chain,11.2897322792323
9,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein targeting to ER,11.2856236060945
10,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,viral process,11.1265438030514
11,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,cellular protein localization,10.6594957782936
12,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,NADH dehydrogenase (ubiquinone) activity,10.1656306051915
13,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein ubiquitination,10.1304957693086
14,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,ubiquitin-dependent protein catabolic process,10.0695116164826
15,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,gene expression,9.75706284477095
16,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,cellular macromolecule biosynthetic process,9.17599206906196
17,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,nucleolus,9.04550555413774
18,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,Golgi vesicle transport,8.7822983491863
19,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,ribosome,8.74356103608593
20,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,mRNA processing,8.3825412398733
21,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein stabilization,8.16677422646066
22,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,centrosome,7.37583613275026
23,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,polysome,7.04959131122039
24,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,transcription-coupled nucleotide-excision repair,6.92229768040746
25,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,"RNA polymerase II, holoenzyme",6.79087956247203
26,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,ubiquitin-protein transferase activity,6.75549042667464
27,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile",6.41897239053734
28,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,tRNA aminoacylation,6.24700181244192
29,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,purine ribonucleoside binding,6.12639407856177
30,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,lytic vacuole membrane,6.02110270940528
31,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,vesicle coating,5.86837633748806
32,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,"vesicle targeting, rough ER to cis-Golgi",5.86837633748806
33,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,cadherin binding,5.48409119790075
34,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,GTPase activity,5.32858366223392
35,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,aminoacyl-tRNA ligase activity,5.32693724848244
36,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,transcription coactivator activity,5.30962678984852
37,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,regulation of transcription by RNA polymerase I,5.20039951976827
38,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,mitochondrial transport,5.15485283813847
39,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,RNA polymerase II transcription regulator complex,5.08686250582698
40,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,ubiquitin binding,4.94888747341869
41,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein transmembrane import into intracellular organelle,4.90925322293337
42,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,Golgi apparatus subcompartment,4.76910218740704
43,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,regulation of cellular amino acid metabolic process,4.60272110261835
44,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,positive regulation of ubiquitin protein ligase activity,4.5524029954973
45,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,Ras protein signal transduction,4.38111153054262
46,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,response to UV,4.37063580272114
47,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein-arginine N-methyltransferase activity,4.32987694781439
48,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,microtubule nucleation by interphase microtubule organizing center,4.28196652164057
49,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,gamma-secretase complex,4.28196652164057
50,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,regulation of mitotic cell cycle phase transition,4.27583301795647
51,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,cilium assembly,4.21239449989713
52,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein targeting to peroxisome,4.07824804623808
53,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,integral component of endoplasmic reticulum membrane,4.02120209327276
54,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,perinuclear region of cytoplasm,3.98642693308651
55,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,"DNA-templated transcription, termination",3.93171320879503
56,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,ATPase binding,3.82639943272936
57,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,intraciliary transport,3.80828650557067
58,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,regulation of cholesterol biosynthetic process,3.71236884176518
59,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,lysosomal transport,3.60061038643101
60,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,phosphoprotein phosphatase activity,3.36717870839607
61,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,basal RNA polymerase II transcription machinery binding,3.16937045309982
62,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,regulation of adherens junction organization,3.1630597603197
63,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,membrane protein ectodomain proteolysis,3.1630597603197
64,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,Golgi-associated vesicle,3.11955074624232
65,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,regulation of establishment of planar polarity,3.0185394105284
66,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,amyloid precursor protein catabolic process,2.99170490763618
67,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein dephosphorylation,2.98795192202045
68,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,long-chain fatty-acyl-CoA metabolic process,2.94853768260602
69,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,positive regulation of axon extension,2.92093629313437
70,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,gamma-tubulin binding,2.92093629313437
71,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,interleukin-1-mediated signaling pathway,2.83763219146705
72,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,steroid hormone receptor binding,2.79739328787637
73,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,prenyltransferase activity,2.79733255067942
74,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,peptide alpha-N-acetyltransferase activity,2.79733255067942
75,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,negative chemotaxis,2.76308575088397
76,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,histone H3 acetylation,2.76097460085975
77,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,polyubiquitin modification-dependent protein binding,2.76097460085975
78,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,phosphatidylinositol binding,2.75362284299502
79,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,negative regulation of intrinsic apoptotic signaling pathway,2.67930770877957
80,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,dolichyl-diphosphooligosaccharide-protein glycotransferase activity,2.59249307997688
81,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,magnesium ion binding,2.56453072936013
82,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,negative regulation of canonical Wnt signaling pathway,2.55440515004317
83,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,cellular response to oxidative stress,2.54118460508118
84,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,ribosome binding,2.48969073423253
85,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,production of miRNAs involved in gene silencing by miRNA,2.43105812788574
86,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein maturation by iron-sulfur cluster transfer,2.39791411988893
87,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein glycosylation,2.373260040622
88,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,focal adhesion,2.31522223243069
89,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,peroxisomal membrane,2.24300879696598
90,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,smooth endoplasmic reticulum,2.23945990356027
91,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,protein heterodimerization activity,2.16854020059958
92,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,pyrimidine nucleotide-sugar transmembrane transporter activity,2.04727946741253
93,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,neurotrophin TRK receptor binding,2.04727946741253
94,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,enoyl-CoA hydratase activity,2.04727946741253
95,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,chromatin,2.02261872371543
96,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,purine-containing compound salvage,2.0170038022589
97,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,endoplasmic reticulum-Golgi intermediate compartment,1.94396320290431
98,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,stimulatory C-type lectin receptor signaling pathway,1.90755988065563
99,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,ubiquinone binding,1.82348697013303
100,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,nucleic acid phosphodiester bond hydrolysis,1.74842491777141
101,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,R-SMAD binding,1.71742830499992
102,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,"regulation of gene expression, epigenetic",1.68029053926499
103,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,phagophore assembly site,1.65286144788608
104,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,Notch receptor processing,1.65023493903396
105,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,"antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent",1.61449079401649
106,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,mRNA polyadenylation,1.61166794067756
107,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,chaperonin-containing T-complex,1.58999045171923
108,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,signal sequence binding,1.55983680635664
109,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,regulation of amyloid-beta clearance,1.54326079750161
110,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,regulation of mammary gland epithelial cell proliferation,1.54326079750161
111,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,mannosyl-oligosaccharide mannosidase activity,1.54326079750161
112,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,"phosphotransferase activity, for other substituted phosphate groups",1.54326079750161
113,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,NEDD8-specific protease activity,1.52723785609327
114,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,aggresome,1.38729680992848
115,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P60,WB,DEsingle,myelination,1.38545628507001
0,Molecular Function,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,RNA binding,22.7296472696327
1,Cellular Component,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,mitochondrial inner membrane,20.4240033636309
2,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,translation,17.6869900846669
3,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,rRNA processing,16.1998968732777
4,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,ribosome biogenesis,15.5092475986492
5,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,mitochondrial respiratory chain complex assembly,13.9800069077222
6,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,NADH dehydrogenase complex assembly,13.3663430939797
7,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,mitochondrial translational elongation,12.2335448778987
8,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,respiratory electron transport chain,11.2897322792323
9,Biological Process,M_MUT_and_WT_F_P30_CORT,F,L2_3_IT,P150,WB,DEsingle,protein targeting to ER,11.2856236060945
